ID,author,title,issued,containerTitle,volume,issue,page,link,citation
298,,,,,,,,,"Bull. Soc. ent. Fr. 1889: 125. Annls Soc. ent. Fr. (6)10: 7, pl. 1, fig. 4."
299,,,,,,,,,Trans. Am. ent. Soc. 10: 181.
300,,,,,,,,,Biologia cent.-am. (Zool.) Lepid.-Heterocera 4: 35. (Anacampsis).
301,,,,,,,,,"Horae Soc. ent. ross. 13: 361, pl. 5, fig. 121."
302,,,,,,,,,"Horae Soc. ent. ross. 13: 340, pl. 4, fig. 110."
303,,,,,,,,,"in Harrison & Berenbaum, Zootaxa 3741(1): 195, figs 2, 4, 6, 7-10."
304,,,,,,,,,"Moths S. Afr. 5: 227 [key], 233."
305,,,,,,,,,Ann. Transv. Mus. 2: 229.
306,,,,,,,,,"Isis, Leipzig 1839: 190."
307,,,,,,,,,Stuttg. Beitr. Naturk. 28: 32.
308,,,,,,,,,"in Walsingham & Hampson, Proc. zool. Soc. Lond. 1896: 278."
309,,,,,,,,,J. Bombay nat. Hist. Soc. 22: 169.
310,,,,,,,,,Exot. Microlepid. 1: 582
311,,,,,,,,,J. Bombay nat. Hist. Soc. 22: 169.
312,,,,,,,,,"Trans. ent. Soc. Lond. 1891: 111, pl. 5, fig. 48."
313,,,,,,,,,Arch. Naturgesch. 79(A)(2): 44.
314,,,,,,,,,"Moths S. Afr. 6: 253, pl. 131, pl. 138, fig. e."
315,,,,,,,,,Exot. Microlepid. 2: 502.
316,,,,,,,,,Exot. Microlepid. 2: 148.
317,,,,,,,,,Ann. Transv. Mus. 3: 298.
318,,,,,,,,,Exot. Microlepid. 4: 360.
319,,,,,,,,,"Verh. K. ned. Akad. Wet. (2)50(1): 14, fig. 575."
320,,,,,,,,,Exot. Microlepid. 3: 512.
321,,,,,,,,,Bull. Soc. ent. Egypte 9: 210.
322,,,,,,,,,Beitr. naturk. Forsch. SüdwDtl. 26(3): 31.
323,,,,,,,,,"in Alluaud & Jeannel, Voyage Alluaud & Jeannel Afr. or. (Lépid.) 2: 72."
324,,,,,,,,,"Tropical Lepid. 6: 57, figs 7-12, 42."
325,,,,,,,,,"in Bae, Lee & Park, Ent. Res. 44: 18, figs 2, 2a, 3, 5."
326,,,,,,,,,Ann. Transv. Mus. 8: 79.
327,,,,,,,,,"Acta zool. hung. 43 (2): 122, figs 1, 2, 17."
328,,,,,,,,,"Stuttg. Beitr. Naturk. 28: 33, pl. 2, fig. 4, pl. 5, fig. 11."
329,,,,,,,,,Stettin. ent. Ztg 38: 378.
330,,,,,,,,,"Mém. Comité Liaison Rech. ecofaun. Jura 12: 6 (oviletta), 61; 99, 105, 109-111 [keys], pl. 18, figs 1-3."
331,,,,,,,,,"Mém. Comité Liaison Rech. ecofaun. Jura 12: 66; 102, 105, 110, 112, 114 [keys], pl. 19, figs 1-3."
332,,,,,,,,,"Mém. Comité Liaison Rech. ecofaun. Jura 12: 83; 102, 109-111, 113 [keys], pl. 25, figs 1, 2."
333,,,,,,,,,Mém. Comité Liaison Rech. ecofaun. Jura 12: 6.
334,,,,,,,,,Alexanor 20: 40.
335,,,,,,,,,"Ent. Obozr. 68: 630 [key], 635, figs 18-21."
336,,,,,,,,,"Acta zool. hung. 43 (2): 127, figs 9, 10, 21."
337,,,,,,,,,Exot. Microlepid. 4: 200.
338,,,,,,,,,Insecta kor. 3: 88.
339,,,,,,,,,"Beitr. naturk. Forsch. SüdwDtl. 17: 179, fig. 1."
340,,,,,,,,,"Moths S. Afr. 6: 214, pl. 101, pl. 121, figs a, b, pl. 129, fig. h."
341,,,,,,,,,"in Bae & al., Zootaxa 4061(3): 229 [key], 235, figs 11, 32, 51, 51a, 64."
342,,,,,,,,,"Acta zootaxon. sin. 25: 187, figs 1-9."
343,,,,,,,,,Ann. Transv. Mus. 3: 299.
344,,,,,,,,,Cat.
345,,,,,,,,,Proc. R. Soc. Qd 31: 165.
346,,,,,,,,,"Insecta kor. 13: 40 [key], 45, figs 10, 42-45, 64, 65."
347,,,,,,,,,"Tropical Lepid. 6: 57 [key], 61, figs 25-28, 45."
348,,,,,,,,,Ann. Transv. Mus. 8: 80. (Anarsia).
349,,,,,,,,,Moths S. Afr. 5: 26.
350,,,,,,,,,"Insecta kor. 13: 40 [key], 47, figs 12, 54-57."
351,,,,,,,,,Mém. Mus. natn. Hist. nat. Paris (N.S.)(A)37: 78.
352,,,,,,,,,Comb. nov.
353,,,,,,,,,"Proc. R. Soc. Qd 31: 40 [key], 47, figs 12, 54-57."
354,,,,,,,,,"Acta zool. hung. 43(2): 124, figs 3, 4, 18."
355,,,,,,,,,"in Park & Bae, Zootaxa 4254(2): 279, figs 3, 3a, 8, 8a."
356,,,,,,,,,"in Bae & al., Zootaxa 4061(3): 228 [key], 231, figs 5, 26, 45."
357,,,,,,,,,Exot. Microlepid. 1: 583.
358,,,,,,,,,"in Bae & al., Zootaxa 4061(3): 229 [key], 232, figs 7, 28, 47, 61."
359,,,,,,,,,"In Bae & al., Zootaxa 4061(3): 249."
360,,,,,,,,,Trans. R. Soc. S. Aust. 21: 57.
361,,,,,,,,,"Suppl. Butterfl. Moths N. Z.: 448, pl. 62, fig. 2."
362,,,,,,,,,"Bull. Soc. ent. Fr. 54: 144. Fam. Amsel, 1967: 22, - ? 1955."
363,,,,,,,,,"in Romanoff, Mém. Lépid. 3: 122, pl. 5, fig. 14."
364,,,,,,,,,"Zool. Zh. 36: 1096, figs 1b, 2b, 3b, 4b."
365,,,,,,,,,"Tropical Lepid. 6: 57 [key], 64, figs 34-40, 48."
366,,,,,,,,,Entomologist's mon. Mag. 44: 197.
367,,,,,,,,,Proc. Linn. Soc. N.S.W. 29: 418.
368,,,,,,,,,Exot. Microlepid. 1: 583.
369,,,,,,,,,Ann. Transv. Mus. 8: 80.
370,,,,,,,,,Exot. Microlepid. 2: 503.
371,,,,,,,,,Zool. Meded. Leiden 6: 163.
372,,,,,,,,,"Acta zool. hung. 43(2): 125, figs 5, 6, 19."
373,,,,,,,,,"Annls Ditsong natn. Mus. nat. Hist. 6: 124, figs 18-20."
374,,,,,,,,,"Acta zool. hung. 42: 75, figs 1-3."
