ID,parentID,nameID,scrutinizer,scrutinizerDate,provisional,referenceID,extinct,temporalRangeEnd,lifezone,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,genus,uninomial,species,remarks
6502,6419,6502,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima iophana,
6504,6419,6504,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima isopogon,
6506,6419,6506,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima isoptila,
6508,6419,6508,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima isotricha,
6510,6419,6510,,,false,4988,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima issikiana,
6511,6419,6511,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima lactifera,
6513,6419,6513,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima lecticata,
6515,6419,6515,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima mancipata,
6517,6419,6517,,,false,4992,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima mangiferae,
6518,6419,6518,,,false,4993,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima manjakatompo,
6519,6419,6519,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima melanecta,
6521,6419,6521,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima melanocharis,
6523,6419,6523,,,false,4996,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima melanogastra,
6525,6419,6525,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima melanoplecta,
6527,6419,6527,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima meliptila,
6529,6419,6529,,,false,5000,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima menglana,
6530,6419,6530,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima metaphorica,
6532,6419,6532,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima microgramma,
6534,6419,6534,,,false,5003,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima nigrogrisea,
6535,6419,6535,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima nimbigera,
6537,6419,6537,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima nodifera,
6539,6419,6539,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima obtruncata,
6542,6419,6542,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima orthomochla,
6544,6419,6544,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima orthostathma,
6546,6419,6546,,,false,5010,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima ovata,
6547,6419,6547,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima parichniota,
6549,6419,6549,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima particulata,
6551,6419,6551,,,false,5013,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima pentagonia,
6552,6419,6552,,,false,5014,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima perinetella,
6553,6419,6553,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima phacelota,
6555,6419,6555,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima pilosella,
6557,6419,6557,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima probolaea,
